Date,N_valid,Mean,Median,Std,Min,Max
2004-10-22,1461,0.17843438217422095,0.15594675369652689,0.31130706455256113,-0.7661902187642521,2.196353203114323
2004-10-29,1468,0.1714520072948025,0.14953062327042643,0.3113655214826592,-0.7931011816424954,2.037652491132226
2004-11-05,1469,0.13698587737457485,0.11683364494918225,0.3094460206716281,-0.7807984317609671,1.9408890027289396
2004-11-12,1472,0.1316902191265705,0.11446498987202891,0.29937528791578627,-0.7697135970421138,1.8903826204678333
2004-11-19,1474,0.14366407939566495,0.11459392548843783,0.3090246008970352,-0.7367818494302507,2.1292551345755495
2004-11-26,1480,0.14001258287537707,0.12228413120507164,0.2994668168737643,-0.7448741694989064,2.023706271920682
2004-12-03,1482,0.1795909223405813,0.15621505099806143,0.29858301026377976,-0.7139875149916286,2.2323716020250854
2004-12-10,1484,0.1944823586697132,0.1703782897473387,0.30697029096692446,-0.7137443951545059,3.239670036557893
2004-12-17,1486,0.1724205464960026,0.1476241038748075,0.2935043680098212,-0.6933341787368562,2.895797400461015
2004-12-24,1494,0.18799056150495796,0.15886600426376674,0.3136608935703853,-0.7139319631269032,3.569836160091465
2004-12-31,1497,0.1892983602539982,0.16489921218270398,0.3098047999191586,-0.7206010005965616,3.520048668661248
2005-01-07,1499,0.16039468624950143,0.1479686439613166,0.29735684831898457,-0.7286508882756068,2.4266402893741854
2005-01-14,1498,0.15708233056217313,0.14651780805339265,0.3048924440202026,-0.7216623617831186,2.3561256199895255
2005-01-21,1493,0.1564343467817576,0.14218273780287505,0.2976554305877489,-0.7090887191516622,2.382497334559172
2005-01-28,1493,0.18311582217776043,0.16278442613851052,0.30510436678952413,-0.7011990748847166,2.577404894576526
2005-02-04,1494,0.11979320564102376,0.10638112362226526,0.28488638077443285,-0.7374783128187536,2.2538523177051126
2005-02-11,1497,0.12077554795117759,0.10570675428763865,0.2888796095983264,-0.7537739864833088,2.3087696096070833
2005-02-18,1497,0.11826093936404156,0.10320488889028501,0.28779696989964654,-0.760414360341835,2.148628794914991
2005-02-25,1505,0.11373279927541022,0.09084449899321512,0.2859922218957907,-0.7755079818281398,2.1313656113266934
2005-03-04,1505,0.13017605994980105,0.1030967081377403,0.2950340793480704,-0.7870598096974472,2.1968815424250936
2005-03-11,1504,0.1636583509230392,0.13348000876587862,0.29934641737620155,-0.7593398464139125,2.023793248307728
2005-03-18,1505,0.16941600897080578,0.14055904436854805,0.302512978254516,-0.7163207777393613,2.356899509776376
2005-03-25,1516,0.18713791469892377,0.14309631363779285,0.3287315369347462,-0.6985146879966792,2.514569216417714
2005-04-01,1508,0.15419986045154963,0.12249482630908293,0.3230281838321962,-0.722578211069413,2.277322384526583
2005-04-08,1508,0.13888127995305471,0.11454420039431856,0.30810666488828514,-0.7488276262095472,1.925516893482722
2005-04-15,1506,0.148989838080111,0.1285387288347949,0.30745531393151365,-0.7096147094052215,2.3757080364204324
2005-04-22,1503,0.12416909130655242,0.10708074211374785,0.2992502671685491,-0.7596604604608181,2.319453322007054
2005-04-29,1498,0.17140013628397344,0.14480789615943157,0.31467556886019904,-0.6719793311305937,2.456215474347293
2005-05-06,1503,0.19332337803278948,0.16641037905895684,0.32478306173665994,-0.6588759056279868,2.92420210873584
2005-05-13,1518,0.14590739775621725,0.1293947127172087,0.2953140213578029,-0.7184447028668184,2.230145478809924
2005-05-20,1532,0.16455328057506824,0.13589894422750926,0.3168211102370668,-0.6786556030125028,2.2184338898265006
2005-05-27,1536,0.11303234880564304,0.09540039122696531,0.2976423980992394,-0.762710092067171,1.9885949526595383
2005-06-03,1543,0.13777816283957628,0.11357039451807593,0.30534370138451594,-0.7625508467282978,1.913916809667489
2005-06-10,1557,0.10726758961337812,0.08762897854155849,0.28174432450371634,-0.7679277025002607,1.6026758454921204
2005-06-17,1557,0.14693788455987966,0.12474509519825605,0.2830728167090963,-0.7576845402772263,1.8434924302431588
2005-06-24,1597,0.14094316833085369,0.1164251257547535,0.2925887049891917,-0.7607201081504511,2.0233857571643004
2005-07-01,1604,0.15203343458513405,0.12214466309473315,0.2967778025733029,-0.7119918351030022,2.13898986564091
2005-07-08,1606,0.18437204024500473,0.14773532442488058,0.30127984929128154,-0.6721820948934314,2.189721273440473
2005-07-15,1611,0.2197439885221023,0.18011975538735103,0.30860504758333285,-0.6980942901747412,2.315207533814103
2005-07-22,1615,0.22308089727037075,0.18311823756583157,0.3104874098404636,-0.703627560073109,2.3343285190585936
2005-07-29,1619,0.22294415864854591,0.18119973726096328,0.3109211509374759,-0.587903294310372,2.1791238755066473
2005-08-05,1620,0.3102398600236735,0.25159496624488553,0.34078439580400516,-0.5737831829247491,2.558342549709823
2005-08-12,1640,0.3228167385308605,0.26334902150120765,0.33654561153353996,-0.5001610371039318,2.6387731002436854
2005-08-19,1640,0.27987763092344314,0.22592326219136427,0.3244840102347976,-0.4749650576887683,2.4225000802924623
2005-08-26,1659,0.28119438382285056,0.2253716931445402,0.33187794852657493,-0.5363824111378234,2.421775591737269
2005-09-02,1662,0.24948736453418474,0.18895327590390965,0.32586273395918225,-0.5588136211156922,2.056995011153379
