Stock_Index,Stock_Name,Weeks_Listed,First_Listed,Last_Listed
7171,"Keros Therapeutics, Inc.",26,2020-07-03,2020-12-25
6527,"USA Technologies, Inc.",26,2017-12-22,2018-09-21
5319,"Stamford Industrial Group, Inc.",26,1999-11-12,2000-06-09
5333,Star Telecommunications,26,1998-07-03,1999-12-24
4317,Pacific Gulf Properties Inc.,26,2000-06-23,2000-12-15
5975,"VAALCO Energy, Inc.",26,2006-06-30,2014-09-26
1800,DUET Group,26,2017-05-05,2017-10-27
1906,Elster Group SE Sponsored ADR,26,2011-09-23,2012-03-16
1845,"Eastern Environmental Services, Inc.",26,1998-07-03,1998-12-25
4224,"OnDisplay, Inc.",26,2000-01-07,2000-06-30
4891,"Rockefeller Center Properties, Inc.",26,1992-01-03,1992-06-26
7129,"Bellerophon Therapeutics, Inc.",26,2020-04-03,2020-09-25
4443,"PETCO Animal Supplies, Inc.",26,1997-06-06,1998-01-30
4551,"PortalPlayer, Inc.",26,2005-10-07,2006-04-14
6273,Wj Communications Inc Com,26,2000-09-01,2001-05-18
6153,"WatchGuard Technologies, Inc.",26,2000-07-07,2000-12-29
975,Caldor Corp Com,26,1993-10-01,1994-09-30
4365,"ParkerVision, Inc.",26,2000-06-23,2013-10-18
2834,Ico Global Comm Hldgs Ord,26,1999-07-02,1999-12-24
7181,Carrier Global Corp.,26,2020-07-03,2020-12-25
7169,"Vroom, Inc.",26,2020-07-03,2020-12-25
7167,ADC Therapeutics Ltd,26,2020-07-03,2020-12-25
7182,"Shift4 Payments, Inc. Class A",26,2020-07-03,2020-12-25
7185,Arconic Corp.,26,2020-07-03,2020-12-25
7184,"Inari Medical, Inc.",26,2020-07-03,2020-12-25
7183,"ZoomInfo Technologies, Inc. Class A",26,2020-07-03,2020-12-25
343,American Television & Comunications Corp.,26,1992-01-03,1992-06-26
5214,Solar Capital Ltd.,26,2013-09-27,2014-03-21
5014,Schiff Nutrition International Inc. Shs -A-,26,2012-06-08,2012-12-14
7100,BioNTech SE Sponsored ADR,26,2020-01-03,2020-06-26
1673,Designer Holdings Ltd.,26,1996-07-05,1997-01-10
7179,SelectQuote Inc,26,2020-07-03,2020-12-25
2579,"Gulf South Medical Supply, Inc.",26,1996-07-05,1998-03-20
2464,"Gleacher & Company, Inc.",26,2009-09-25,2010-04-30
7180,Otis Worldwide Corporation,26,2020-07-03,2020-12-25
5714,"TPG Specialty Lending, Inc.",26,2014-06-27,2014-12-19
3657,Medley Capital Corporation,26,2013-09-27,2014-03-21
2359,"Gaia, Inc. Class A",26,2007-08-31,2008-03-07
1510,"Coulter Pharmaceutical, Inc.",26,1998-12-04,2000-12-08
850,Bone Care International Inc.,26,2004-12-10,2005-06-24
7176,"Match Group, Inc.",26,2020-07-03,2020-12-25
7175,"Applied Molecular Transport, Inc.",26,2020-07-03,2020-12-25
7174,IAC/InteractiveCorp.,26,2020-07-03,2020-12-25
5401,Student Ln Marketing Assn Com Conv Vtg,26,1992-01-03,1992-06-26
7188,ORIC Pharmaceuticals Inc,26,2020-07-03,2020-12-25
7170,"Pliant Therapeutics, Inc.",26,2020-07-03,2020-12-25
7177,Warner Music Group Corp. Class A,26,2020-07-03,2020-12-25
7172,"Zentalis Pharmaceuticals, Inc.",26,2020-07-03,2020-12-25
3778,"Mindspeed Technologies, Inc.",27,2003-11-07,2004-05-28
5467,Swisher Hygiene Inc.,27,2011-09-23,2012-03-23
4016,Neurogen Corp,27,2000-02-18,2001-02-16
5269,"Spectra Physics, Inc.",27,2000-07-07,2001-02-02
4264,Oregon Metallurgical Corporation,27,1996-10-04,1998-03-20
3158,Kaneb Services LLC,27,2004-11-26,2005-06-24
7000,Hudson Ltd. Class A,27,2019-05-03,2020-01-24
4267,"Organic, Inc.",27,2000-03-03,2000-09-01
